time,step,train_loss
2022-11-02,0,3.15016
2022-11-02,10,2.50988
2022-11-02,20,2.40743
2022-11-02,30,2.25518
2022-11-02,40,2.09226
2022-11-02,50,2.18650
2022-11-02,60,2.06997
2022-11-02,70,2.02983
2022-11-02,80,2.02234
2022-11-02,90,2.09657
2022-11-02,100,2.16261
2022-11-02,110,2.11749
2022-11-02,120,2.19250
2022-11-02,130,2.03683
2022-11-02,140,1.88978
2022-11-02,150,2.14094
2022-11-02,160,1.98115
2022-11-02,170,2.04985
2022-11-02,180,2.02562
2022-11-02,190,2.55785
2022-11-02,200,2.11576
2022-11-02,210,1.99981
2022-11-02,220,2.38925
2022-11-02,230,2.04007
2022-11-02,240,1.93337
2022-11-02,250,2.16384
2022-11-02,260,2.01197
2022-11-02,270,1.98961
2022-11-02,280,1.98394
2022-11-02,290,2.03030
2022-11-02,300,2.16586
2022-11-02,310,2.02665
2022-11-02,320,2.04264
2022-11-02,330,2.02607
2022-11-02,340,2.00233
2022-11-02,350,2.15216
2022-11-02,360,1.98058
2022-11-02,370,1.87363
2022-11-02,380,2.06164
2022-11-02,390,1.84847
2022-11-02,400,2.15793
2022-11-02,410,2.03497
2022-11-02,420,2.08476
